City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
542,Azare,NG,11.6765,10.1948,65.08,25,35,7.83,scattered clouds
543,Fairbanks,US,64.8378,-147.7164,3.6,81,100,0.0,light snow
544,Margate,GB,51.3813,1.3862,48.69,84,55,3.0,broken clouds
545,Balikpapan,ID,-1.2675,116.8289,81.59,78,20,2.3,light rain
546,Sibolga,ID,1.7427,98.7792,76.19,91,100,2.44,overcast clouds
547,Prado,BR,-17.3411,-39.2208,75.51,93,100,4.54,overcast clouds
548,Kilindoni,TZ,-7.9139,39.6668,78.98,82,100,10.54,overcast clouds
549,Alexandria,EG,31.2156,29.9553,62.49,72,0,7.85,clear sky
550,San-Pedro,CI,4.7485,-6.6363,76.91,89,100,2.77,moderate rain
551,Tangshan,CN,39.6333,118.1833,19.72,22,0,4.94,clear sky
552,Tautira,PF,-17.7333,-149.15,78.66,81,20,12.86,light rain
553,Guaruja,BR,-23.9931,-46.2564,75.88,26,69,9.86,broken clouds
554,Komsomolskiy,UZ,40.4272,71.7189,50.72,57,100,20.71,overcast clouds
555,Sterling,US,39.0062,-77.4286,47.26,41,0,20.71,clear sky
556,Jutai,BR,-5.1833,-68.9,77.76,83,100,1.21,overcast clouds
557,Christchurch,NZ,-43.5333,172.6333,68.41,50,2,5.75,clear sky
558,Chumikan,RU,54.7183,135.315,-9.15,75,100,23.55,overcast clouds
559,Camacha,PT,33.0833,-16.3333,62.02,94,75,12.66,broken clouds
560,Hirosaki,JP,40.5931,140.4725,33.1,82,100,9.82,light snow
561,Mazurivka,UA,49.2745,24.2123,28.87,96,77,6.64,broken clouds
562,Wanaka,NZ,-44.7,169.15,64.11,50,70,7.0,broken clouds
563,Yongan,CN,39.6957,113.6871,7.72,26,0,8.81,clear sky
564,Sangar,RU,63.9242,127.4739,-38.38,99,98,3.13,overcast clouds
565,Sabzevar,IR,36.2126,57.6819,43.88,81,0,18.41,clear sky
566,Mumford,GH,5.2618,-0.759,78.53,84,81,4.32,broken clouds
567,Belyy Yar,RU,53.6039,91.3903,-18.15,70,20,0.0,mist
568,Iskateley,RU,67.6803,53.1512,4.64,96,12,9.35,few clouds
569,Poum,NC,-20.2333,164.0167,81.88,82,99,15.1,overcast clouds
570,Cap-Aux-Meules,CA,47.3821,-61.8597,37.45,75,100,25.32,overcast clouds
571,Saint-Pierre,RE,-21.3393,55.4781,73.08,64,20,5.75,few clouds
572,Goderich,CA,43.7501,-81.7165,32.32,59,100,26.46,overcast clouds
573,Port Blair,IN,11.6667,92.75,81.27,81,100,6.4,overcast clouds
574,Quebrangulo,BR,-9.3189,-36.4711,70.07,94,100,5.21,overcast clouds
575,Mtama,TZ,-10.3,39.3667,74.61,90,96,4.03,light rain
576,Richards Bay,ZA,-28.783,32.0377,65.34,90,100,6.46,overcast clouds
577,Mbengwi,CM,6.0167,10.0,62.74,70,93,1.03,overcast clouds
